approve_item_id,approve_item_track_number,approve_item_name,approve_item_is_active,approve_item_created_date,approve_item_created_by,approve_item_last_modified_date,approve_item_last_modified_by,fk_approval_id,fk_status_id
1,APEM-38919,account_system,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
2,APEM-37055,approval,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
3,APEM-42407,approval_flow,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
4,APEM-56636,approve_item,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
5,APEM-67430,bank,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
6,APEM-58047,budget,1,2020-08-20,1,2021-09-06 22:12:57,1,,
7,APEM-45112,budget_item,1,2020-08-20,1,2021-01-07 07:54:17,1,,
8,APEM-33690,budget_item_detail,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
9,APEM-86476,cheque_book,1,2020-08-20,1,2020-12-21 13:48:54,1,,
10,APEM-56923,ci_sessions,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
11,APEM-43269,context_center,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
12,APEM-30022,context_center_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
13,APEM-56388,context_cluster,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
14,APEM-11860,context_cluster_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
15,APEM-6531,context_cohort,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
16,APEM-1432,context_cohort_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
17,APEM-1767,context_country,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
18,APEM-75077,context_country_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
19,APEM-47140,context_definition,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
20,APEM-31871,context_global,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
21,APEM-37923,context_global_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
22,APEM-1197,context_region,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
23,APEM-18594,context_region_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
24,APEM-36647,contra_account,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
25,APEM-83189,country_currency,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
26,APEM-6304,currency_conversion,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
27,APEM-26186,currency_conversion_detail,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
28,APEM-70886,dashboard,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
29,APEM-35596,department,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
30,APEM-41023,department_user,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
31,APEM-21947,designation,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
32,APEM-73482,expense_account,"0",2020-08-20,1,2022-11-10 09:59:21,1,,
33,APEM-79474,financial_report,1,2020-08-20,1,2021-09-09 21:11:27,1,,
34,APEM-19734,funder,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
35,APEM-82943,funding_status,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
36,APEM-35272,history,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
37,APEM-21647,income_account,"0",2020-08-20,1,2022-11-10 09:59:33,1,,
38,APEM-11753,journal,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
39,APEM-62562,language,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
40,APEM-49234,language_phrase,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
41,APEM-80940,menu,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
42,APEM-72423,menu_user_order,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
43,APEM-66517,message,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
44,APEM-57542,message_detail,"0",2020-08-20,1,2020-08-20 12:01:48,1,,
45,APEM-28284,month,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
46,APEM-80820,office,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
47,APEM-84293,office_bank,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
48,APEM-89145,office_bank_project_allocation,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
49,APEM-68941,office_cash,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
50,APEM-46570,opening_allocation_balance,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
51,APEM-79609,opening_bank_balance,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
52,APEM-2773,opening_cash_balance,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
53,APEM-62786,opening_deposit_transit,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
54,APEM-48908,opening_fund_balance,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
55,APEM-10110,opening_outstanding_cheque,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
56,APEM-5476,page_view,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
57,APEM-3052,page_view_condition,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
58,APEM-85624,page_view_role,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
59,APEM-32124,permission,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
60,APEM-70201,permission_label,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
61,APEM-78158,project,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
62,APEM-89865,project_allocation,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
63,APEM-13305,project_allocation_detail,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
64,APEM-11319,project_cost_proportion,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
65,APEM-89415,project_income_account,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
66,APEM-65124,reconciliation,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
67,APEM-40510,request,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
68,APEM-14430,request_conversion,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
69,APEM-17513,request_detail,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
70,APEM-38176,request_type,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
71,APEM-22741,role,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
72,APEM-6478,role_permission,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
73,APEM-84192,setting,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
74,APEM-56900,status,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
75,APEM-85567,status_role,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
76,APEM-34999,system_opening_balance,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
77,APEM-48004,translation,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
78,APEM-5651,user,1,2020-08-20,1,2024-03-11 07:22:07,1,,
79,APEM-11745,variance_note,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
80,APEM-70404,voucher,1,2020-08-20,1,2021-09-06 22:13:16,1,,
81,APEM-88506,voucher_detail,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
82,APEM-10001,voucher_type,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
83,APEM-44972,voucher_type_account,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
84,APEM-76426,voucher_type_effect,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
85,APEM-49563,workplan,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
86,APEM-18091,workplan_task,"0",2020-08-20,1,2020-08-20 12:01:49,1,,
87,APEM-40159,attachment,"0",2020-11-03,1,2020-11-03 08:32:26,1,,
88,APEM-89195,budget_review_count,"0",2020-11-03,1,2020-11-03 08:32:26,1,,
89,APEM-72081,budget_tag,"0",2020-11-03,1,2020-11-03 08:32:26,1,,
90,APEM-8871,event,"0",2020-11-03,1,2020-11-03 08:32:27,1,,
91,APEM-35624,permission_template,"0",2020-12-04,1,2020-12-04 09:40:09,1,,
92,APEM-12145,role_group,"0",2020-12-04,1,2020-12-04 09:40:09,1,,
93,APEM-30404,role_group_association,"0",2020-12-04,1,2020-12-04 09:56:50,1,,
94,APEM-78501,cash_recipient_account,"0",2020-12-09,1,2020-12-09 10:13:56,1,,
95,APEM-5899,project_request_type,"0",2020-12-09,1,2020-12-09 10:13:57,1,,
96,APEM-31310,request_type_department,"0",2020-12-09,1,2020-12-09 10:13:57,1,,
97,APEM-56580,budget_projection,"0",2020-12-21,1,2020-12-21 06:33:14,1,,
98,APEM-70659,budget_projection_income_account,"0",2020-12-21,1,2020-12-21 06:33:14,1,,
99,APEM-88066,office_group,"0",2020-12-21,1,2020-12-21 06:33:15,1,,
100,APEM-36865,office_group_association,"0",2020-12-21,1,2020-12-21 06:33:15,1,,
101,APEM-25170,cheque_injection,"0",2021-01-14,1,2021-01-14 04:57:29,1,,
102,APEM-62677,expense_account_office_association,"0",2021-01-25,37,2021-01-25 07:13:14,37,,
103,APEM-46231,user_switch,"0",2021-01-25,37,2021-01-25 07:13:15,37,,
104,APEM-20638,account_system_setting,"0",2021-01-25,37,2021-01-25 10:23:50,37,,
105,APEM-67550,budget_limit,"0",2021-02-08,1,2021-02-08 14:27:05,1,,
106,APEM-34801,voucher_signatory,"0",2021-02-08,1,2021-02-08 14:27:06,1,,
107,APEM-45460,variance_comment,"0",2021-02-12,18,2021-02-12 05:56:57,18,,
108,APEM-31288,attachment_type,"0",2021-09-09,116,2021-09-09 19:36:53,116,,
109,APEM-39787,cheque_book_reset,"0",2021-09-09,159,2021-09-09 19:36:54,159,,
110,APEM-78981,role_user,"0",2021-09-09,113,2021-09-09 19:36:56,113,,
111,APEM-12460,beneficiary,"0",2022-06-19,1311,2022-06-19 15:45:23,1311,,
112,APEM-43096,health_facility,"0",2022-06-19,1311,2022-06-19 15:45:23,1311,,
113,APEM-88965,medical_claim,1,2022-06-19,1311,2022-06-19 16:37:31,1311,,
114,APEM-18648,medical_claim_admin_setting,"0",2022-06-19,1311,2022-06-19 15:45:24,1311,,
115,APEM-73101,medical_claim_setting,"0",2022-06-19,1311,2022-06-19 15:45:24,1311,,
116,APEM-77205,medical_claim_type,"0",2022-06-19,1311,2022-06-19 15:45:24,1311,,
117,APEM-6275,funds_transfer,1,2022-07-04,1,2022-07-04 21:23:38,1,,
118,APEM-27195,replicate_opening_balances,"0",2022-07-11,1129,2022-07-11 06:06:20,1129,,
119,APEM-55581,approval_exemption,"0",2022-11-10,39,2022-11-10 01:07:13,39,,
120,APEM-41399,fund_balance_summary_report,"0",2022-11-10,2713,2022-11-10 01:16:17,2713,,
121,APEM-77242,transactions_summary_report,"0",2022-11-10,2713,2022-11-10 01:16:17,2713,,
122,APEM-36811,expense_vote_heads_category,"0",2022-12-08,678,2022-12-08 01:26:13,678,,
123,APEM-79105,funding_stream,"0",2022-12-08,678,2022-12-08 01:26:57,678,,
124,APEM-89478,gifts_reconciliation,"0",2022-12-08,678,2022-12-08 01:27:30,678,,
125,APEM-26843,income_vote_heads_category,"0",2022-12-08,678,2022-12-08 01:27:30,678,,
126,APEM-69570,office_user,"0",2023-01-09,686,2023-01-09 15:48:45,686,,
127,APEM-72941,gift_completion,"0",2023-01-20,2801,2023-01-20 11:37:57,2801,,
128,APEM-58842,scheduled_task,"0",2023-02-10,1,2023-02-10 03:53:38,1,,
129,APEM-8487,item_reason,"0",2023-02-14,570,2023-02-14 14:53:19,570,,
130,APEM-19290,reimbursement_app_type,"0",2023-02-22,2301,2023-02-22 04:33:19,2301,,
131,APEM-89169,reimbursement_claim,1,2023-02-22,2301,2023-02-22 04:45:12,2301,,
132,APEM-89014,reimbursement_comment,"0",2023-02-22,2301,2023-02-22 04:34:20,2301,,
133,APEM-71726,reimbursement_diagnosis_type,"0",2023-02-22,2301,2023-02-22 04:34:20,2301,,
134,APEM-38717,reimbursement_funding_type,"0",2023-02-22,2301,2023-02-22 04:34:20,2301,,
135,APEM-3404,reimbursement_illiness_category,"0",2023-02-22,2301,2023-02-22 04:34:20,2301,,
136,APEM-28567,email_template,"0",2023-02-24,790,2023-02-24 07:34:15,790,,
137,APEM-65643,mail_log,"0",2023-02-24,177,2023-02-24 07:34:21,177,,
138,APEM-82415,dashboard_change,"0",2023-06-27,1,2023-06-27 07:39:17,1,,
139,APEM-37875,user_account_activation,1,2023-09-28,4118,2024-03-23 07:35:53,4118,,
140,APEM-29681,custom_financial_year,"0",2023-10-16,680,2023-10-16 10:01:11,680,,
141,APEM-78852,financial_review_dashboard,"0",2023-10-16,4241,2023-10-16 10:01:12,4241,,
142,APEM-28528,strategic_objectives,"0",2024-03-08,213,2024-03-08 13:22:35,213,,
143,APEM-19582,unique_identifier,"0",2024-03-08,213,2024-03-08 13:22:36,213,,
144,APEM-28555,cancel_cheque,"0",2024-07-18,6718,2024-07-18 13:51:57,6718,,
145,APEM-26380,activate_all_users,"0",2024-09-03,1164,2024-09-03 08:54:25,1164,,
146,APEM-32452,cheque_book_reset_constraint,"0",2024-09-03,4869,2024-09-03 08:54:25,4869,,
